id_station,cluster_label
17044,61
20143,29
16138,21
17008,31
10107,32
11002,2
16039,21
11027,2
18028,61
20115,13
11105,2
22003,3
19022,39
23001,54
24002,14
35019,6
10005,32
8102,12
17027,42
31016,22
31007,52
47006,18
10020,32
12041,63
18138,55
7101,23
1022,26
14125,51
20004,52
17001,61
35011,46
13027,35
21316,7
42304,58
17033,12
32011,45
44007,19
6008,23
10105,32
35001,70
13032,71
4020,9
35006,46
12018,1
44005,19
9004,8
15036,37
42505,35
21110,31
22306,16
22504,14
9111,26
1012,72
13038,71
1024,9
17020,42
45004,5
21002,49
41103,17
21027,49
41101,17
19018,46
22507,14
12001,2
26008,48
42004,53
18134,8
7018,47
31103,44
26002,48
41209,67
22406,56
14124,51
31008,22
15103,21
17125,31
11042,2
19125,15
28001,3
7015,47
17042,36
8055,12
23701,65
5002,57
18005,8
15028,37
13102,27
19009,15
18033,61
16043,73
23008,42
22002,3
12150,27
13021,35
31707,13
10153,32
44002,53
20009,13
42305,58
22008,3
13033,71
11038,2
18006,8
41205,67
18041,26
32601,64
92006,69
20015,38
15006,23
23102,33
13052,10
11001,2
20008,13
20024,64
41405,30
21506,40
13017,27
31001,52
41208,44
42704,71
13054,10
15040,0
42018,53
22603,20
2020,26
20048,13
42022,53
42303,58
41605,63
6025,23
20014,38
7010,47
31701,64
12017,1
9104,4
12107,38
7008,72
15059,50
12108,59
16016,73
33005,70
8049,12
10164,39
22012,36
31017,22
92005,69
14101,23
5014,57
22206,58
13516,35
7109,47
10019,32
5007,57
18202,8
14132,51
4009,27
6007,23
42030,53
12123,52
13024,35
15069,50
15024,37
41602,52
14004,57
14035,23
30004,43
20005,13
6005,23
21007,11
13013,27
21511,40
8044,12
32305,6
12109,59
14111,51
22207,58
9008,26
10162,39
41303,5
15112,0
15042,34
8045,12
21312,34
15054,50
44013,28
8057,12
16108,73
16136,21
19032,39
15122,0
24001,14
42302,58
32016,25
41402,30
17011,31
10113,39
20120,64
20040,29
13026,35
14130,0
31019,22
44012,28
9117,32
6003,72
33006,45
15202,56
43002,52
5005,57
43401,18
43008,22
14138,0
8017,4
14106,0
17105,36
22016,36
8025,4
15013,0
42301,58
20121,29
11036,39
18110,55
16121,36
5021,57
16129,21
13104,27
23002,54
15055,50
12011,59
21308,34
21019,49
6107,23
41204,67
15070,50
16029,73
13103,27
13122,35
32603,6
13113,71
1016,26
21108,16
13117,71
12129,67
8011,4
19036,46
15125,34
21118,42
21029,11
15072,50
17023,42
44101,18
21402,66
11033,2
17009,31
16037,21
20034,29
4103,9
4014,9
19111,55
19130,15
21505,40
1116,26
31020,22
35005,46
23042,58
2006,26
44004,19
13051,10
21329,7
32012,60
19006,15
8052,12
23041,58
13036,10
30003,43
16025,73
6004,23
11016,38
5105,27
10151,32
34009,31
35021,70
18045,61
34008,60
21001,11
8019,4
4110,2
17022,42
7020,47
21311,34
4011,9
17016,31
19031,15
31018,52
2110,9
20103,64
35008,46
21017,49
18142,32
48009,28
31026,22
19025,29
20039,29
17039,36
42003,53
8549,12
16020,21
16030,21
11021,38
8037,4
27004,14
17108,31
1021,9
9006,32
31005,52
8116,12
15039,0
2112,26
9007,32
33103,46
1006,9
15008,47
16013,73
6104,57
22401,56
4007,2
2102,26
10202,39
18135,61
15203,50
18021,8
20013,13
11018,2
12039,1
44009,19
22005,3
17127,31
44015,19
17038,36
47007,30
8053,12
33017,45
44006,28
19120,29
10024,39
15110,50
14136,17
10014,39
46001,19
21301,7
12009,59
12027,59
22505,14
13045,10
7009,47
21109,16
8012,4
15038,0
16021,73
6017,72
8056,12
20017,13
8015,4
23302,20
11103,2
10017,32
5107,57
16101,36
12043,59
32001,45
19108,55
18007,8
17111,31
15071,37
15102,37
4019,9
2108,26
15127,50
6002,72
16019,73
12036,1
18139,8
15128,50
21309,34
1007,9
19002,55
19201,15
10011,39
23702,65
1017,72
48007,28
16010,73
6015,72
8040,12
13116,10
35013,6
22701,48
31105,44
17110,31
21218,17
21207,17
10031,39
15113,0
13023,35
17036,36
41304,5
10001,39
7007,72
26010,16
23204,56
4104,9
8004,4
8103,12
18111,61
9106,4
17040,36
5020,27
12111,1
6006,23
18003,61
12114,52
46003,19
18031,8
14012,51
41202,67
1119,9
17031,42
41601,52
11024,2
14110,17
22006,3
8035,4
15010,37
20119,64
5026,57
21111,16
13016,10
21003,11
16015,12
20201,13
22102,40
31704,6
5019,57
18019,61
14116,17
6031,57
12154,1
19021,15
20045,13
13110,35
18114,61
7024,37
19113,64
11031,2
7111,37
13048,35
13121,53
15043,0
16003,36
42501,35
12007,59
21306,34
15005,0
15057,34
13044,10
9024,26
13018,10
45002,5
2021,26
3004,39
44001,53
27006,48
42019,53
9019,26
15018,0
18016,8
19117,15
48002,71
15050,50
7023,37
5033,57
8046,12
15120,34
21510,40
24010,3
21514,40
14014,35
5022,57
6001,72
22409,56
17004,31
19101,29
13001,57
5106,57
19024,29
15021,37
19016,15
31010,22
11007,38
35018,6
33001,45
20036,64
27002,14
18020,8
21013,49
34002,61
10023,39
17046,12
18049,55
15002,23
21024,11
10163,32
8105,12
17005,31
11012,38
44103,63
21951,66
16014,73
21203,17
15052,50
31021,22
21031,49
43001,52
14010,51
22408,56
33015,70
22015,54
18030,8
20044,13
15001,23
14135,35
3010,9
13125,27
4101,2
2012,26
4015,9
3007,9
15058,34
2022,26
23206,20
34011,60
5027,57
10003,32
12119,63
48006,28
17117,31
11028,29
21107,42
42027,71
20030,29
22302,16
41212,22
10038,39
31303,43
8050,12
10013,39
17025,12
14002,23
14020,17
31102,44
11030,2
5123,57
26013,16
23009,42
16124,3
92003,69
14001,23
20136,29
11101,38
11020,38
13043,10
9023,26
8026,4
7003,23
7002,23
14108,17
31024,22
19033,15
16118,21
9014,26
9001,32
12031,59
31706,13
45003,68
41302,67
5004,57
10042,32
42021,53
5012,57
7102,47
11004,2
18201,55
42029,28
6013,72
11009,38
41102,17
14034,0
12029,59
5119,27
14104,0
20113,29
15017,0
92004,69
19038,29
11041,2
20118,13
42703,71
10114,39
4013,9
13114,10
3101,9
14007,51
19030,15
18035,61
10039,39
33104,46
10152,32
16009,73
21213,17
8020,4
15023,37
17003,61
9114,32
15022,37
12026,59
27005,48
21314,7
13010,35
22201,20
22301,16
15132,0
16103,36
2003,9
1102,9
21507,40
14023,0
14133,51
4017,9
2016,9
12164,18
1013,72
19046,46
13028,35
19119,39
14005,51
43004,52
13055,10
22014,36
19123,15
25009,24
18043,61
15056,50
34012,60
13123,10
7001,47
11025,2
6029,57
7025,37
9028,4
11039,2
17013,31
9021,26
12013,59
14117,23
42707,71
20132,13
16006,36
10165,32
51003,41
8051,4
19039,39
16032,21
17047,42
21703,56
5121,57
32004,45
21114,16
2101,9
13515,35
10004,32
16115,21
21219,17
23003,54
25001,24
47001,30
9102,4
12005,59
10021,32
6022,72
11011,2
20105,13
41203,67
10033,32
10008,32
16036,21
12015,1
9037,4
8028,12
5122,57
1014,72
1026,72
17106,31
12166,52
1008,9
20140,13
24004,54
13006,27
25002,24
6020,72
22602,20
34005,8
5110,57
31028,52
13118,10
7011,47
9038,61
1001,72
9022,26
8036,12
20042,29
15067,37
21212,56
42706,71
20131,38
35020,6
21701,56
19029,55
19013,15
26007,54
19005,55
15025,37
11102,38
19004,55
20043,38
19019,46
17018,12
21105,31
20109,64
44102,63
22001,54
9031,26
47004,30
10010,39
1117,9
18008,8
31023,22
15020,37
9013,26
13047,10
22009,36
19124,46
14113,57
16007,12
12006,27
5034,27
20122,13
14131,17
4016,9
22303,16
92001,69
15004,0
19128,15
21501,40
18044,61
12038,1
12035,1
41403,30
16005,36
11112,38
19110,55
5015,57
18004,61
2015,26
19129,29
12020,13
35012,6
22601,20
21119,31
34010,60
11014,38
16017,73
21023,11
22404,56
15044,56
8039,12
22007,3
10026,39
16122,3
20137,64
19023,29
32018,25
18014,8
23005,42
14128,0
12125,52
21115,42
21702,56
10012,32
10018,32
44016,19
17123,31
41211,67
12101,59
20022,64
17019,12
4108,27
15111,50
14022,0
19012,55
18136,8
32019,25
18015,8
17021,42
6026,23
5003,57
26012,16
33019,45
11022,38
20012,13
14009,51
16116,21
18101,8
15114,0
11029,29
14025,0
30005,70
8003,12
18203,61
45005,5
12165,18
23201,56
32017,25
17048,4
8048,12
14013,35
16110,73
26003,48
12151,59
19026,46
8034,12
48010,28
13002,57
11035,39
42504,35
15201,50
14036,51
41606,52
33018,45
14021,17
17037,36
25005,24
16018,73
31705,13
41604,52
7006,72
2010,26
32014,25
20023,64
35003,70
15031,37
21014,49
9026,26
16027,21
18017,61
2013,26
17116,42
11034,39
5030,57
21004,11
12120,63
4107,2
22103,40
32021,45
10110,39
10037,39
13039,10
21030,11
32301,6
20108,13
15030,50
18038,55
21401,7
33016,70
13009,35
13025,35
44011,28
8027,4
21315,34
1020,4
7012,47
16102,36
19010,15
21215,17
21706,56
4012,9
42026,71
10041,32
4018,9
21011,11
44008,19
20142,29
1003,9
20003,13
8007,4
24007,54
12040,1
12010,1
17126,31
16107,73
15026,37
2017,9
48003,28
92007,69
31022,22
20112,29
35010,46
11026,2
42010,53
21104,31
8013,12
19008,15
15033,50
5114,57
21502,40
11114,2
14139,0
18113,61
11006,2
11043,2
14030,0
19041,29
10036,55
18137,8
7026,47
11046,39
11044,2
12153,59
23105,33
9016,26
16024,73
17015,31
16001,12
6012,72
9034,4
21707,56
3102,9
17024,4
8117,4
26004,16
3008,2
44014,28
14103,51
10006,32
26005,16
1018,72
16139,73
32020,25
23303,20
23202,20
51008,62
15012,37
14027,0
12102,27
42205,63
12122,52
5031,27
3201,2
13053,10
23106,33
21954,7
9020,26
92002,69
9002,32
19003,55
11023,38
31009,22
17030,42
12128,18
2111,26
31003,52
16008,12
13050,10
43005,52
32003,45
7005,72
16034,21
12030,1
35009,46
13014,27
15029,37
8101,4
23011,36
18032,8
16123,3
6016,72
15035,50
21216,17
13030,35
19027,46
18107,32
15109,50
18022,8
41404,30
25003,24
16038,21
16040,21
9005,8
42015,10
17007,31
31012,22
31702,6
10015,39
9115,26
35014,46
21310,34
20016,13
6032,72
7013,47
2001,9
11019,38
6014,72
4109,27
21952,7
35004,46
13020,27
21028,49
13011,27
21204,17
16011,73
17107,42
15311,34
17119,31
12155,1
15129,47
6010,23
13005,57
10009,32
2005,9
3012,9
3006,2
42211,63
3002,2
21509,40
23101,33
48008,28
2109,26
23301,20
10166,32
18010,55
15041,0
13120,10
20106,64
16022,73
4010,2
1201,72
21033,11
10028,32
16140,40
20037,64
9029,26
21021,49
25010,24
18018,61
32023,25
9035,4
26009,16
23007,42
4005,27
9118,32
41206,44
13019,10
8029,12
13022,35
16031,73
42011,53
15009,47
35015,70
15019,0
15131,50
41210,67
11109,2
11032,29
21307,34
51002,41
51001,41
41401,63
20001,1
21026,11
7021,47
31709,52
2002,9
22502,14
12163,18
6201,72
22506,48
14134,0
42028,71
32022,25
1015,72
42210,63
43007,22
12022,1
15027,0
13008,35
21112,16
31301,43
18023,8
18026,8
31104,44
5001,57
21010,11
17041,36
8009,4
19015,15
42014,53
14008,51
21209,17
21006,11
44003,19
22203,20
22402,56
9010,26
1002,9
5006,57
17045,12
21305,7
8002,4
33009,45
42503,17
41207,44
6018,23
19037,64
17124,61
20027,64
15108,50
26001,54
11010,38
9017,26
16112,73
15003,23
31013,52
18001,61
20202,64
5028,27
21120,31
20117,64
31101,44
22604,20
20007,13
42701,71
22501,14
13109,35
13106,35
15064,50
35007,6
23004,42
9027,61
12028,59
14032,51
4006,27
12037,1
18034,61
20104,13
9009,32
10034,32
20006,13
12112,1
14137,17
3011,9
10027,32
22503,14
48005,28
2004,9
1025,72
12113,1
20010,29
23104,11
21704,56
19121,29
24101,65
24005,54
19102,29
21205,56
19001,55
20011,13
11040,2
22703,48
21508,40
19045,15
26011,48
10025,39
12106,59
23203,20
21302,7
6108,23
42016,10
25006,24
13101,35
43009,67
19105,46
11047,2
5032,57
14003,51
5018,57
15106,37
5124,57
32604,6
15046,0
17028,42
12115,52
16111,73
33003,15
12126,63
7014,47
17017,31
6103,23
19109,55
22101,11
18025,8
18109,55
18029,8
35017,70
31703,6
20116,13
12004,2
45001,5
13041,10
18042,61
20019,64
15063,50
11003,2
47002,30
11107,38
11110,38
12127,18
20002,64
9036,4
31025,22
4003,9
21217,17
16002,36
23010,54
11017,38
15011,37
5024,57
9011,26
21303,7
13035,35
14031,51
33012,45
18039,55
14026,51
10032,39
12156,1
32013,25
21953,33
12002,2
24006,54
15062,50
33020,45
9039,26
27001,14
1023,72
13049,10
19114,29
8018,4
21022,49
9025,26
12008,59
25004,24
17006,31
19007,15
21016,49
20033,29
17050,4
44010,19
15032,50
21320,34
23205,20
17010,31
18024,8
11104,38
41301,67
15047,0
17032,36
8016,4
18011,55
15105,37
19103,46
35002,70
9116,26
20134,64
12024,59
20021,13
13007,35
6021,72
7004,23
44017,30
17043,36
11113,39
19044,46
15104,34
18046,61
21005,49
15133,50
21015,49
15034,37
18009,32
32302,22
9032,4
20111,64
43003,52
32303,6
21313,34
43402,18
11115,38
19115,15
32010,60
21403,7
12032,1
16004,73
6030,23
47005,63
19127,55
14112,51
32015,25
1120,9
12161,59
15107,50
7016,47
14006,51
9015,26
12033,59
21009,11
22403,17
17029,42
18027,61
4001,9
4002,9
42209,53
43010,67
6027,23
5115,27
33014,45
16105,36
48004,28
16042,49
47003,30
20029,64
3009,9
3003,2
16044,49
12157,38
2008,26
2009,26
18112,61
19118,39
17202,4
42024,53
25007,24
11111,38
20020,13
20110,64
15045,56
6028,72
16023,73
13037,10
16104,36
12105,59
11201,38
17026,42
5016,57
15068,34
10115,39
10029,32
10161,32
21328,7
8201,12
16026,21
19043,46
8010,4
46002,19
10016,32
33102,46
8054,12
31708,64
21008,49
92008,69
18012,8
17102,42
8033,12
18141,8
12034,59
42207,63
5116,27
43006,52
14018,17
21032,11
14122,0
17122,31
19040,64
17121,61
13046,10
8038,12
9012,26
15061,50
9113,32
2014,26
16041,21
11048,38
17104,36
14127,23
14016,51
23006,42
20047,13
15060,50
8008,4
22013,3
21708,56
15123,37
13126,10
13128,59
7017,47
4021,9
21319,7
14011,51
16012,73
12019,1
18140,8
8110,4
11037,39
14019,51
3001,2
3005,9
26006,16
28005,3
10201,32
12016,1
34013,60
48012,28
23703,65
13015,10
15053,50
20032,29
16033,21
19014,15
15014,0
6009,23
30007,43
51007,41
8031,12
20035,29
22209,58
22305,16
